url_length,count_at,count_dots,count_hyphens,has_https,path_length,query_length
85,0,2,1,0,57,0
58,0,2,0,0,38,0
84,0,1,6,1,63,0
51,0,1,1,0,28,0
48,0,3,0,0,28,0
65,0,3,2,0,33,0
169,0,3,1,0,139,0
61,0,3,3,0,37,0
29,0,2,0,0,0,0
102,0,4,0,0,30,49
439,0,3,2,0,63,354
95,0,3,5,0,75,0
28,0,1,0,0,5,0
75,0,3,6,1,48,0
63,0,3,0,0,39,0
126,0,4,1,1,20,47
127,0,4,1,1,19,49
50,0,3,1,0,20,0
137,0,5,3,0,83,27
16,0,1,0,0,5,0
33,0,1,0,0,9,0
29,0,2,0,1,1,0
34,0,2,0,0,12,0
53,0,2,0,0,27,0
49,0,2,1,0,21,0
91,0,2,6,0,73,0
50,0,2,0,0,16,0
66,0,2,4,1,42,0
71,0,2,2,0,29,0
47,0,1,1,1,14,5
21,0,1,0,0,3,0
54,0,1,4,0,35,0
100,0,6,0,0,69,0
57,0,2,3,0,33,0
53,0,3,0,0,26,0
32,0,2,1,1,1,0
24,0,2,1,0,0,0
41,0,2,0,1,10,0
33,0,2,0,0,14,0
425,1,24,0,0,10,394
80,0,3,6,1,49,0
47,0,3,0,1,21,0
51,0,2,2,0,22,0
61,0,5,1,1,23,0
28,0,1,1,0,13,0
17,0,2,0,0,0,0
43,0,3,0,0,17,0
39,0,2,0,0,9,12
41,0,2,0,0,0,0
48,0,4,0,0,24,0
55,0,2,1,1,1,0
47,0,1,0,1,28,0
35,0,2,0,0,1,0
27,0,2,0,1,8,0
28,0,2,0,0,0,0
39,0,3,0,0,15,0
59,0,2,0,0,34,0
71,0,5,3,0,20,0
21,0,1,0,0,6,0
59,0,4,1,1,20,0
36,0,4,0,0,1,0
49,0,3,1,0,24,0
90,0,2,6,0,49,0
66,0,1,0,0,34,0
98,0,2,2,0,65,0
33,0,3,0,0,1,0
34,0,3,1,1,4,0
63,0,1,2,0,34,0
23,0,2,0,0,0,0
42,0,3,0,1,1,0
84,0,2,5,1,58,0
54,0,4,0,0,25,0
35,0,1,0,1,9,0
39,0,2,0,1,6,0
43,0,2,0,1,13,0
27,0,2,0,1,1,0
50,0,3,0,0,19,0
49,0,2,0,0,36,0
70,0,6,0,0,54,0
22,0,1,0,1,8,0
54,0,4,0,0,38,0
36,0,1,0,0,15,0
41,0,3,0,0,15,0
103,0,2,2,0,80,0
106,0,5,0,0,73,4
24,0,3,0,1,1,0
61,0,4,0,0,19,13
37,0,3,0,0,1,0
97,0,2,8,1,64,0
88,0,2,7,0,59,0
50,0,2,0,0,28,0
140,0,3,5,0,1,105
72,0,4,0,0,43,0
28,0,2,0,0,0,0
98,0,2,2,0,65,0
62,0,5,0,0,26,0
35,0,2,0,0,1,0
45,0,2,0,0,9,0
28,0,3,0,1,1,0
32,0,2,0,1,1,0
